record_type,algorithm,order,value
compile_time,trisolv,2,1.634468
compile_time,trisolv,3,1.754330
compile_time,trisolv,4,1.667670
compile_time,trisolv,5,1.762399
compile_time,trisolv,6,1.789468
compile_time,trisolv,7,1.695040
compile_time,trisolv,8,1.693725
compile_time,trisolv,9,1.634697
run_time,trisolv,0,0.060082
run_time,trisolv,1,0.053185
run_time,trisolv,2,0.060549
run_time,trisolv,3,0.060258
run_time,trisolv,4,0.060066
run_time,trisolv,5,0.053456
run_time,trisolv,6,0.060846
run_time,trisolv,7,0.060081
run_time,trisolv,8,0.060375
run_time,trisolv,9,0.060243
compile_returncode,trisolv,0,0
compile_returncode,trisolv,1,0
compile_returncode,trisolv,2,0
compile_returncode,trisolv,3,0
compile_returncode,trisolv,4,0
compile_returncode,trisolv,5,0
compile_returncode,trisolv,6,0
compile_returncode,trisolv,7,0
compile_returncode,trisolv,8,0
compile_returncode,trisolv,9,0
run_returncode,trisolv,0,0
run_returncode,trisolv,1,0
run_returncode,trisolv,2,0
run_returncode,trisolv,3,0
run_returncode,trisolv,4,0
run_returncode,trisolv,5,0
run_returncode,trisolv,6,0
run_returncode,trisolv,7,0
run_returncode,trisolv,8,0
run_returncode,trisolv,9,0
compile_time,bicg,0,8.478333
compile_time,bicg,1,2.321606
compile_time,bicg,2,2.437486
compile_time,bicg,3,3.093118
compile_time,bicg,4,2.324494
compile_time,bicg,5,3.492254
compile_time,bicg,6,2.171890
compile_time,bicg,7,11.165183
compile_time,bicg,8,2.706991
compile_time,bicg,9,2.276711
run_time,bicg,0,0.039155
run_time,bicg,1,0.036012
run_time,bicg,2,0.038985
run_time,bicg,3,0.038948
run_time,bicg,4,0.039167
run_time,bicg,5,0.036583
run_time,bicg,6,0.039044
run_time,bicg,7,0.036427
run_time,bicg,8,0.036452
run_time,bicg,9,0.036674
compile_returncode,bicg,0,0
compile_returncode,bicg,1,0
compile_returncode,bicg,2,0
compile_returncode,bicg,3,0
compile_returncode,bicg,4,0
compile_returncode,bicg,5,0
compile_returncode,bicg,6,0
compile_returncode,bicg,7,0
compile_returncode,bicg,8,0
compile_returncode,bicg,9,0
run_returncode,bicg,0,0
run_returncode,bicg,1,0
run_returncode,bicg,2,0
run_returncode,bicg,3,0
run_returncode,bicg,4,0
run_returncode,bicg,5,0
run_returncode,bicg,6,0
run_returncode,bicg,7,0
run_returncode,bicg,8,0
run_returncode,bicg,9,0
compile_time,syr2k,0,9.308146
compile_time,syr2k,1,4.034680
compile_time,syr2k,2,3.384096
compile_time,syr2k,3,3.447785
compile_time,syr2k,4,3.954702
compile_time,syr2k,5,4.218365
compile_time,syr2k,6,3.884386
compile_time,syr2k,7,4.336374
compile_time,syr2k,8,4.252496
compile_time,syr2k,9,5.890604
run_time,syr2k,0,17.665532
run_time,syr2k,1,15.012956
run_time,syr2k,2,16.455426
run_time,syr2k,3,16.328966
run_time,syr2k,4,8.712924
run_time,syr2k,5,11.775096
run_time,syr2k,6,8.650519
run_time,syr2k,7,11.668462
run_time,syr2k,8,17.661074
run_time,syr2k,9,17.629092
compile_returncode,syr2k,0,0
compile_returncode,syr2k,1,0
compile_returncode,syr2k,2,0
compile_returncode,syr2k,3,0
compile_returncode,syr2k,4,0
compile_returncode,syr2k,5,0
compile_returncode,syr2k,6,0
compile_returncode,syr2k,7,0
compile_returncode,syr2k,8,0
compile_returncode,syr2k,9,0
run_returncode,syr2k,0,0
run_returncode,syr2k,1,0
run_returncode,syr2k,2,0
run_returncode,syr2k,3,0
run_returncode,syr2k,4,0
run_returncode,syr2k,5,0
run_returncode,syr2k,6,0
run_returncode,syr2k,7,0
run_returncode,syr2k,8,0
run_returncode,syr2k,9,0
compile_time,syrk,0,8.228343
compile_time,syrk,1,5.480062
compile_time,syrk,2,4.395912
compile_time,syrk,3,4.655696
compile_time,syrk,4,4.303224
compile_time,syrk,5,4.157148
compile_time,syrk,6,4.714687
compile_time,syrk,7,3.939135
compile_time,syrk,8,3.950885
compile_time,syrk,9,4.288450
run_time,syrk,0,16.896461
run_time,syrk,1,16.842424
run_time,syrk,2,7.533169
run_time,syrk,3,7.553933
run_time,syrk,4,7.580209
run_time,syrk,5,14.591566
run_time,syrk,6,8.128157
run_time,syrk,7,14.578396
run_time,syrk,8,8.084189
run_time,syrk,9,16.800901
compile_returncode,syrk,0,0
compile_returncode,syrk,1,0
compile_returncode,syrk,2,0
compile_returncode,syrk,3,0
compile_returncode,syrk,4,0
compile_returncode,syrk,5,0
compile_returncode,syrk,6,0
compile_returncode,syrk,7,0
compile_returncode,syrk,8,0
compile_returncode,syrk,9,0
run_returncode,syrk,0,0
run_returncode,syrk,1,0
run_returncode,syrk,2,0
run_returncode,syrk,3,0
run_returncode,syrk,4,0
run_returncode,syrk,5,0
run_returncode,syrk,6,0
run_returncode,syrk,7,0
run_returncode,syrk,8,0
run_returncode,syrk,9,0
compile_time,ludcmp,0,7.923725
compile_time,ludcmp,1,3.167987
compile_time,ludcmp,2,5.724216
compile_time,ludcmp,3,3.159176
compile_time,ludcmp,4,3.047998
compile_time,ludcmp,5,3.635105
compile_time,ludcmp,6,3.091275
compile_time,ludcmp,7,4.768273
compile_time,ludcmp,8,3.115628
compile_time,ludcmp,9,7.648748
run_time,ludcmp,0,99.823430
run_time,ludcmp,1,54.108786
run_time,ludcmp,2,99.315294
run_time,ludcmp,3,99.427527
run_time,ludcmp,4,99.312357
run_time,ludcmp,5,99.436771
run_time,ludcmp,6,99.493268
run_time,ludcmp,7,99.543240
run_time,ludcmp,8,99.527780
run_time,ludcmp,9,99.532758
compile_returncode,ludcmp,0,0
compile_returncode,ludcmp,1,0
compile_returncode,ludcmp,2,0
compile_returncode,ludcmp,3,0
compile_returncode,ludcmp,4,0
compile_returncode,ludcmp,5,0
compile_returncode,ludcmp,6,0
compile_returncode,ludcmp,7,0
compile_returncode,ludcmp,8,0
compile_returncode,ludcmp,9,0
run_returncode,ludcmp,0,0
run_returncode,ludcmp,1,0
run_returncode,ludcmp,2,0
run_returncode,ludcmp,3,0
run_returncode,ludcmp,4,0
run_returncode,ludcmp,5,0
run_returncode,ludcmp,6,0
run_returncode,ludcmp,7,0
run_returncode,ludcmp,8,0
run_returncode,ludcmp,9,0
compile_time,heat-3d,0,25.277901
compile_time,heat-3d,1,4.975786
compile_time,heat-3d,2,4.846766
compile_time,heat-3d,3,5.038049
compile_time,heat-3d,4,5.155346
compile_time,heat-3d,5,6.082294
compile_time,heat-3d,6,5.583281
compile_time,heat-3d,7,5.548397
